Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Cabrini,2024,Alejandro Gómez Monteverde,"[""Cristiana Dell'Anna"", 'David Morse', 'Giancarlo Giannini', 'John Lithgow', 'Romana Maggiora Vergano', 'Federico Ielapi', 'Virginia Bocelli', 'Rolando Villazón', 'Jeremy Bobb', 'Federico Castelluccio', 'Patch Darragh', 'Seán Cullen', 'Andrew Polk', 'Allen Lewis Rickman', 'Giampiero Judica', 'Kevin Tanski', 'Fausto Russo Alesi', 'Sam Bond', 'Montserrat Espadalé', 'Peter Lojacono', 'Sarah Santizo', 'Brian Ceponis', 'Eugenia Forteza']",3.37,nan,"['History', 'Drama']",142,"['Italy', 'USA']",English,"['English', 'Italian']","['Angel Studios', 'Santa Fe Films', 'Lupin Film', 'Lodigiano Film Development']",5405,1805,1503,10,51,69,74,219,374,853,899,1077,348,585,4549,https://letterboxd.com/film/cabrini/
Molli and Max in the Future,2023,Michael Lukk Litwak,"['Zosia Mamet', 'Aristotle Athiras', 'Arturo Castro', 'Michael Chernus', 'Aparna Nancherla', 'Okieriete Onaodowan', 'Paloma Garcia-Lee', 'Erin Darke', 'Grace Kuhlenschmidt', 'Matteo Lane', 'Danny Burstein', 'Jane Dashow', 'Nick Mestad', 'Rachel Naugle', 'Connie Shi', 'Maura Grace Athari', 'David Bluvband', 'David Hull', 'Laura Lee Caudill']",3.46,nan,"['Romance', 'Comedy', 'Science Fiction']",93,['USA'],English,['English'],"['Choreografx', 'DVRG', 'Senior Post', 'Whiskey Bear', 'the Family']",1391,726,439,4,5,12,24,65,71,192,275,261,74,101,1080,https://letterboxd.com/film/molli-and-max-in-the-future/
Ordinary Angels,2024,Jon Gunn,"['Hilary Swank', 'Alan Ritchson', 'Emily Mitchell', 'Skywalker Hughes', 'Nancy Travis', 'Tamala Jones', 'Drew Powell', 'Amy Acker', 'Stephanie Sy', 'Erik Athavale', 'Dempsey Bryk', 'David Brown', 'Darcy Fehr', 'Don Mike', 'Ryan Allen', 'DJ Brotherson', 'Gabriel Daniels', 'Andrea del Campo', 'Jean-Jacques Javier', 'Ernie Pitts', 'Nancy Sorel']",3.25,nan,['Drama'],118,['USA'],English,['English'],"['Kingdom Story Company', 'Vertigo Entertainment', 'Stampede Ventures']",6116,2589,1527,4,44,89,119,351,558,1271,1011,1041,278,495,5257,https://letterboxd.com/film/ordinary-angels/
The Kitchen,2023,"Daniel Kaluuya, Kibwe Tavares","['Kane Robinson', 'Jedaiah Bannerman', 'BACKROAD GEE', 'Hope Ikpoku Jnr', 'Demmy Ladipo', 'Rasaq Kukoyi', 'Ian Wright', 'Cristale', 'Henry Lawfull', 'Richie Lawrie', 'Fiona Marr', 'Lola-Rose Maxwell', 'Dani Moseley', 'Ewart James Walters', 'Neville Watson', 'Karen Williams', 'Rhys Yates']",2.67,nan,"['Adventure', 'Comedy', 'Thriller', 'Science Fiction', 'Drama']",108,"['UK', 'USA']",English,['English'],"['DMC Film', '59%', 'Film4 Productions', 'Factory Fifteen']",19986,4710,2766,7,287,744,895,3004,3222,4772,2334,1471,246,320,17295,https://letterboxd.com/film/the-kitchen-2023/
You'll Never Find Me,2023,"Indianna Bell, Josiah Allen","['Brendan Rock', 'Jordan Cowan', 'Elena Carapetis', 'Angela Korng', 'Finn Watson', 'Luca Trimboli']",3.04,nan,"['Horror', 'Thriller']",96,['Australia'],English,['English'],"['Someone Like U Productions', 'Stakeout Films']",11487,3169,2261,6,81,201,276,930,1380,2883,2114,1489,297,230,9881,https://letterboxd.com/film/youll-never-find-me/
Arcadian,2024,Benjamin Brewer,"['Nicolas Cage', 'Jaeden Martell', 'Maxwell Jenkins', 'Sadie Soverall', 'Samantha Coughlan', 'Joel Gillman', 'Joe Dixon', 'Daire McMahon']",2.85,nan,"['Science Fiction', 'Thriller', 'Horror']",92,"['Ireland', 'USA']",English,['English'],"['Highland Film Group', 'Redline Entertainment', 'Wild Atlantic Pictures', 'Aperture Media Partners', 'Saturn Films']",12477,5017,2430,2,118,317,425,1371,1984,3291,1997,991,180,185,10859,https://letterboxd.com/film/arcadian/
Fitting In,2023,Molly McGlynn,"['Maddie Ziegler', 'Emily Hampshire', ""D'Pharaoh Woon-A-Tai"", 'Ki Griffin', 'Djouliet Amara', 'Dale Whibley', 'Dennis Andres', 'Michael Therriault', 'Rhoslynne Bugay', 'Marni Van Dyk', 'Vivien Endicott Douglas', ""Kataem O'Connor"", 'Emma Hunter', 'Neil Crone', 'Christian Rose']",3.1,nan,"['Drama', 'Comedy']",106,['Canada'],English,['English'],"['Nice Picture Inc.', 'Wondaland']",5911,1959,1289,5,49,109,124,391,548,1429,1139,933,171,211,5104,https://letterboxd.com/film/fitting-in-2023/
Monolith,2022,Matt Vesely,"['Lily Sullivan', 'Ling Cooper Tang', 'Ansuya Nathan', 'Erik Thomson', 'Terence Crawford', 'Matt Crook', 'Kate Box', 'Rashidi Edward', 'Brigid Zengeni', 'Damon Herriman', 'Chase Coleman']",3.18,nan,"['Science Fiction', 'Mystery', 'Thriller']",94,['Australia'],English,['English'],"['South Australian Film Corporation', 'Adelaide Film Festival Investment Fund', 'Black Cat White Rabbit Productions']",6082,1988,1312,4,39,70,86,380,584,1531,1326,837,136,111,5100,https://letterboxd.com/film/monolith-2022/
Limbo,2023,Ivan Sen,"['Simon Baker', 'Rob Collins', 'Natasha Wanganeen', 'Nicholas Hope', 'Mark Coe', 'Joshua Warrior', 'Nick Buckland', 'Alexis Lennon', 'Craig Rossiter']",3.24,nan,"['Mystery', 'Crime', 'Thriller', 'Drama']",108,['Australia'],English,['English'],"['Bunya Productions', 'Windalong Films']",3096,1317,558,6,21,45,69,183,293,630,585,421,103,72,2422,https://letterboxd.com/film/limbo-2023-1/
Drift,2023,Anthony Chen,"['Cynthia Erivo', 'Alia Shawkat', 'Ibrahima Ba', 'Honor Swinton Byrne', 'Zainab Jah', 'Suzy Bemba', 'Vincent Vermignon', 'Abigail Boyd', 'Amanda Drew', 'Luca Calvani', 'Dorotea Mercuri', 'Jonathan Rhodes', 'Adonis Sklavenas', 'Adriana Teplytska', 'Aggelos Georgiadis', 'Alexandros Sotiriou', 'Anastasia Chaldaiou', 'Anastasia Drakou', 'Makiko Yamaguchi', 'Anastasia Roditi', 'Anna Papaspati', 'Anthony Cornaga', 'Antonia Orfanou', 'Argiris Georgalas', 'Brenda Kirmis', 'David Rawstron', 'Christina Chatzimarinaki', 'Agni Politaki', 'Elvis Allarai', 'Diamantis Konstantinos Angelos', 'Hristos Glykos', 'Issa Coulibaly', 'John Ngugi', 'David Nnadi', 'David Okonkwo', 'Despina Polykandritou', 'Eddy Mopongi', 'Eden Guley', 'Liam Guley', 'Emmanuel Nwaugu', 'Emmanuel Okonkwo', 'Augustine Ioannidis', 'Euaggelia Stoltidou', 'Eyole Olef', 'Filippos Koutsoukis', 'Giannis Egglezos Panos']",3.28,nan,"['Drama', 'Romance']",93,"['France', 'Greece', 'UK']",Greek (modern),"['Greek (modern)', 'English']","['Paradise City', 'Heretic', 'FortyNineSixty', 'EPT']",1733,1119,304,4,5,12,30,111,161,345,284,215,53,47,1263,https://letterboxd.com/film/drift-2023/
Blackout,2023,Larry Fessenden,"['Alex Hurt', 'Addison Timlin', 'Barbara Crampton', 'Kevin Corrigan', 'James Le Gros', 'Joe Swanberg', 'Marshall Bell', 'Ella Rae Peck', 'Marc Senter', 'Michael Buscemi', 'Joseph Castillo-Midyett', 'Asta Paredes', 'Jeremy Holm', 'Cody Kostro', 'John Speredakos', 'Motell Gyn Foster', 'Rigo Garay', 'Clay von Carlowitz', 'Braxton Sohns', 'Gaby Leyner']",3.07,nan,"['Horror', 'Drama']",107,['USA'],English,['English'],['Glass Eye Pix'],1102,825,247,0,11,35,43,106,132,223,153,107,14,27,851,https://letterboxd.com/film/blackout-2023/
Blood for Dust,2023,Rod Blackhurst,"['Scoot McNairy', 'Kit Harington', 'Josh Lucas', 'Stephen Dorff', 'Nora Zehetner', 'Ethan Suplee', 'Amber Rose Mason', 'Megan Folsom', 'Chris Mullinax', 'Golden Garnick', 'Everett Blunck', 'Algin Mendez', 'Jeff Medley', 'J.D. Hoppe', 'Gabriel Clark', 'Blake de Pastino', 'Scott McCauley', 'Travis W Bruyer', 'John Budge', ""Ross O'Connor"", 'Russ Tiller', 'Robert Majerus', 'Jackson T. Scott']",3.06,nan,"['Thriller', 'Crime', 'Action']",98,['USA'],English,['English'],"['Nickel City Pictures', 'Witchcraft Motion Picture Company', 'Studio507', 'JaiD7 Pictures', 'Buffalo 8', 'Good Wizard', 'BondIt Media Capital', 'Short Porch Pictures']",1055,506,143,0,7,18,32,133,163,269,138,48,2,15,825,https://letterboxd.com/film/blood-for-dust/
